GPU,ETH/Day,Price,Power (W)
NVIDIA RTX 3080 Ti,0.00147,59900,257
NVIDIA RTX 3090,0.00147,72900,294
NVIDIA RTX A5000,0.0012,85900,215
NVIDIA RTX 3080,0.00119,43600,224
NVIDIA RTX 3070 Ti ,0.00097,42500,186
NVIDIA RTX 3060 Ti,0.00073,35000,125
NVIDIA RTX 3060,0.00058,31000,113
NVIDIA RTX 2080 Ti,0.00069,41000,160
NVIDIA RTX 2080,0.00051,32000,116
NVIDIA RTX 2070 Super,0.00048,28000,111
NVIDIA RTX 2070,0.00047,20590,103
AMD RADEON VII,0.00109,26500,236
AMD RADEON RX VEGA64,0.00065,23500,170
AMD RADEON RX VEGA56,0.00064,14900,175
AMD RADEON RX 6900XT,0.00076,64900,143
AMD RADEON RX 6800XT,0.00076,42500,104
AMD RADEON RX 6800,0.00076,27990,108
AMD RADEON RX 6700XT,0.00053,15999,98
AMD RADEON RX 6600XT,0.0004,18650,68
AMD RADEON RX 590,0.00041,9690,160
AMD RADEON RX 5700,0.00065,13900,135
AMD RADEON RX 5600XT,0.00052,11900,110
NVIDIA RTX 2060 Super,0.00047,21490,105
NVIDIA GTX 1660 Ti,0.00038,14900,60
NVIDIA GTX 1660 Super,0.00036,14500,75
NVIDIA GTX 1660,0.00025,8650,80
NVIDIA GTX 1080,0.00046,13890,135
NVIDIA RTX 1070 Ti,0.00036,14896,135
NVIDIA RTX 1070,0.00034,15500,120
